date_UTC,country,latitude,longitude,unit,parameter,value,sensortype
2022-04-25T05:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,73,reference grade
2022-04-25T04:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,80,reference grade
2022-04-25T03:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,81,reference grade
2022-04-25T02:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,80,reference grade
2022-04-25T01:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,77,reference grade
2022-04-25T00:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,78,reference grade
2022-04-24T23:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,79,reference grade
2022-04-24T22:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,78,reference grade
2022-04-24T22:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,78,reference grade
2022-04-24T21:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,79,reference grade
2022-04-24T21:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,75,reference grade
2022-04-24T20:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,78,reference grade
2022-04-24T20:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,78,reference grade
2022-04-24T19:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,75,reference grade
2022-04-24T19:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,82,reference grade
2022-04-24T18:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,78,reference grade
2022-04-24T18:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,87,reference grade
2022-04-24T17:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,82,reference grade
2022-04-24T17:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,88,reference grade
2022-04-24T16:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,93,reference grade
